datetime,open,high,low,close,volume
2023-12-08 01:00:00,16439.0,16440.0,16433.0,16436.0,23
2023-12-08 01:05:00,16440.0,16444.0,16429.0,16433.0,37
2023-12-08 01:10:00,16433.0,16433.0,16422.0,16424.0,47
2023-12-08 01:15:00,16425.0,16425.0,16416.0,16417.0,59
2023-12-08 01:20:00,16418.0,16430.0,16417.0,16426.0,22
2023-12-08 01:25:00,16425.0,16429.0,16424.0,16428.0,21
2023-12-08 01:30:00,16428.0,16429.0,16425.0,16426.0,15
2023-12-08 01:35:00,16424.0,16430.0,16423.0,16427.0,28
2023-12-08 01:40:00,16423.0,16428.0,16423.0,16428.0,7
2023-12-08 01:45:00,16429.0,16441.0,16429.0,16441.0,25
2023-12-08 01:50:00,16441.0,16455.0,16439.0,16445.0,115
2023-12-08 01:55:00,16448.0,16451.0,16443.0,16443.0,31
2023-12-08 02:00:00,16441.0,16450.0,16441.0,16446.0,25
2023-12-08 02:05:00,16445.0,16447.0,16443.0,16444.0,27
2023-12-08 02:10:00,16447.0,16452.0,16447.0,16451.0,41
2023-12-08 02:15:00,16453.0,16459.0,16450.0,16450.0,70
2023-12-08 02:20:00,16449.0,16449.0,16444.0,16448.0,25
2023-12-08 02:25:00,16447.0,16457.0,16447.0,16457.0,32
2023-12-08 02:30:00,16456.0,16457.0,16450.0,16450.0,35
2023-12-08 02:35:00,16452.0,16454.0,16450.0,16450.0,20
2023-12-08 02:40:00,16453.0,16457.0,16450.0,16453.0,28
2023-12-08 02:45:00,16454.0,16460.0,16452.0,16459.0,53
2023-12-08 02:50:00,16456.0,16457.0,16445.0,16446.0,67
2023-12-08 02:55:00,16445.0,16454.0,16443.0,16452.0,40
2023-12-08 03:00:00,16451.0,16455.0,16427.0,16440.0,77
2023-12-08 09:20:00,16434.0,16460.0,16398.0,16401.0,1676
2023-12-08 09:25:00,16401.0,16409.0,16376.0,16384.0,1195
2023-12-08 09:30:00,16386.0,16423.0,16379.0,16419.0,743
2023-12-08 09:35:00,16418.0,16435.0,16393.0,16429.0,2319
2023-12-08 09:40:00,16430.0,16507.0,16423.0,16493.0,3508
2023-12-08 09:45:00,16492.0,16499.0,16418.0,16421.0,3139
2023-12-08 09:50:00,16419.0,16427.0,16386.0,16391.0,2252
2023-12-08 09:55:00,16390.0,16408.0,16356.0,16361.0,2454
2023-12-08 10:00:00,16362.0,16362.0,16318.0,16321.0,2771
2023-12-08 10:05:00,16318.0,16357.0,16310.0,16339.0,1936
2023-12-08 10:10:00,16340.0,16345.0,16294.0,16317.0,2104
2023-12-08 10:15:00,16318.0,16339.0,16305.0,16323.0,1040
2023-12-08 10:20:00,16321.0,16338.0,16306.0,16314.0,816
2023-12-08 10:25:00,16313.0,16332.0,16285.0,16315.0,1605
2023-12-08 10:30:00,16313.0,16345.0,16309.0,16331.0,1006
2023-12-08 10:35:00,16330.0,16343.0,16320.0,16332.0,707
2023-12-08 10:40:00,16330.0,16341.0,16311.0,16317.0,611
2023-12-08 10:45:00,16315.0,16334.0,16303.0,16321.0,657
2023-12-08 10:50:00,16323.0,16342.0,16312.0,16316.0,678
2023-12-08 10:55:00,16316.0,16316.0,16301.0,16305.0,665
2023-12-08 11:00:00,16305.0,16312.0,16289.0,16294.0,655
2023-12-08 11:05:00,16293.0,16310.0,16281.0,16296.0,820
2023-12-08 11:10:00,16297.0,16308.0,16273.0,16305.0,999
2023-12-08 11:15:00,16303.0,16322.0,16297.0,16317.0,743
2023-12-08 11:20:00,16314.0,16336.0,16307.0,16331.0,593
2023-12-08 11:25:00,16330.0,16362.0,16327.0,16352.0,1237
2023-12-08 11:30:00,16352.0,16369.0,16344.0,16350.0,890
2023-12-08 11:35:00,16348.0,16356.0,16341.0,16354.0,405
2023-12-08 11:40:00,16352.0,16365.0,16349.0,16352.0,359
2023-12-08 11:45:00,16352.0,16365.0,16347.0,16361.0,270
2023-12-08 11:50:00,16362.0,16385.0,16360.0,16381.0,634
2023-12-08 11:55:00,16380.0,16404.0,16372.0,16396.0,764
2023-12-08 12:00:00,16397.0,16440.0,16393.0,16430.0,993
2023-12-08 13:05:00,16432.0,16455.0,16419.0,16423.0,1233
2023-12-08 13:10:00,16423.0,16431.0,16401.0,16424.0,1054
2023-12-08 13:15:00,16424.0,16440.0,16418.0,16437.0,658
2023-12-08 13:20:00,16436.0,16463.0,16428.0,16458.0,972
